time_s,flow_m3_s,pressure_Pa
3.374148429685939199e-01,2.680101802214446917e-05,2.698961074072590563e+05
3.381799559911984332e-01,2.722485000388491397e-05,2.698959961369317025e+05
3.389450690138029465e-01,2.768814932945747379e-05,2.698958934457685100e+05
3.397101820364074598e-01,2.818648671688241513e-05,2.698957990959245362e+05
3.404752950590119731e-01,2.871543288417998077e-05,2.698957124524000101e+05
3.412404080816164864e-01,2.927055854937044737e-05,2.698956324830400408e+05
3.420055211042209997e-01,2.984743443047405432e-05,2.698955577585346182e+05
3.427706341268255130e-01,3.044163124551106813e-05,2.698954864524186123e+05
3.435357471494300263e-01,3.104871971250175867e-05,2.698954163410720066e+05
3.443008601720345396e-01,3.166427054946636195e-05,2.698953448037193157e+05
3.450659731946390529e-01,3.228385447442515125e-05,2.698952688224305748e+05
3.458310862172435662e-01,3.290304220539836934e-05,2.698951849821200594e+05
3.465961992398480795e-01,3.351740446040629966e-05,2.698950894705475075e+05
3.473613122624525928e-01,3.412251195746918500e-05,2.698949780783173628e+05
3.481264252850571062e-01,3.471393541460727491e-05,2.698948461991050863e+05
3.488915383076616195e-01,3.528724554984085282e-05,2.698946946313173394e+05
3.496566513302661328e-01,3.583801308119014797e-05,2.698945256371394498e+05
3.504217643528706461e-01,3.636180872667544380e-05,2.698943366832312895e+05
3.511868773754751594e-01,3.685420320431697630e-05,2.698941251955851330e+05
3.519519903980796727e-01,3.731076723213502214e-05,2.698938885595252505e+05
3.527171034206841860e-01,3.772707152814983088e-05,2.698936241197082563e+05
3.534822164432886993e-01,3.809868681038165885e-05,2.698933291801228770e+05
3.542473294658932126e-01,3.842118379685077593e-05,2.698930010040899506e+05
3.550124424884977259e-01,3.869013320557742491e-05,2.698926368142627762e+05
3.557775555111022392e-01,3.890110575458186889e-05,2.698922337926266482e+05
3.565426685337067525e-01,3.904967216188436421e-05,2.698917890804990893e+05
3.573077815563112658e-01,3.913140314550518075e-05,2.698912997785297921e+05
3.580728945789157791e-01,3.914186942346456130e-05,2.698907629467007355e+05
3.588380076015202924e-01,3.907664171378277574e-05,2.698901756043260684e+05
3.596031206241248057e-01,3.893129073448007362e-05,2.698895347300520516e+05
3.603682336467293190e-01,3.870141256239688468e-05,2.698888391606919467e+05
3.611333466693338323e-01,3.838534042215374263e-05,2.698881242001288920e+05
